Skills Covered,My Matches,Job Zone,Code,Occupation
100,1,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
50,1,2,41-9011.00,Demonstrators and Product Promoters
50,1,2,41-9041.00,Telemarketers
33,1,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
33,1,2,43-3011.00,Bill and Account Collectors
25,1,4,41-3021.00,Insurance Sales Agents
25,1,3,41-3041.00,Travel Agents
25,1,2,41-2031.00,Retail Salespersons
20,1,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
20,1,3,13-1041.04,Government Property Inspectors and Investigators
20,1,3,41-4011.07,Solar Sales Representatives and Assessors
16,1,5,13-2099.01,Financial Quantitative Analysts
16,1,4,13-2071.00,Credit Counselors
16,1,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
16,1,4,41-9021.00,Real Estate Brokers
16,1,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
16,1,3,29-2099.08,Patient Representatives
16,1,2,11-9131.00,Postmasters and Mail Superintendents
14,1,4,41-3011.00,Advertising Sales Agents
14,1,4,13-1051.00,Cost Estimators
14,1,4,27-1025.00,Interior Designers
14,1,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
14,1,3,33-1011.00,First-Line Supervisors of Correctional Officers
14,1,3,11-9171.00,Funeral Home Managers
12,1,5,19-2041.01,Climate Change Policy Analysts
12,1,5,19-3011.00,Economists
12,1,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
12,1,4,27-1021.00,Commercial and Industrial Designers
12,1,4,13-2052.00,Personal Financial Advisors
12,1,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
12,1,4,27-3031.00,Public Relations Specialists
12,1,4,13-1041.07,Regulatory Affairs Specialists
12,1,3,27-1022.00,Fashion Designers
12,1,3,33-3051.00,Police and Sheriff's Patrol Officers
12,1,3,41-9022.00,Real Estate Sales Agents
12,1,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
11,1,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
11,1,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
11,1,5,11-3031.03,Investment Fund Managers
11,1,5,25-1112.00,"Law Teachers, Postsecondary"
11,1,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
11,1,4,19-1031.00,Conservation Scientists
11,1,4,13-1041.03,Equal Opportunity Representatives and Officers
11,1,4,19-5011.00,Occupational Health and Safety Specialists
11,1,4,29-1125.00,Recreational Therapists
11,1,4,13-1161.01,Search Marketing Strategists
11,1,4,17-2051.01,Transportation Engineers
11,1,4,19-3099.01,Transportation Planners
11,1,4,11-9121.02,Water Resource Specialists
11,1,3,35-1011.00,Chefs and Head Cooks
11,1,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
10,1,5,17-1011.00,"Architects, Except Landscape and Naval"
10,1,5,19-1029.01,Bioinformatics Scientists
10,1,5,15-1221.00,Computer and Information Research Scientists
10,1,5,25-4012.00,Curators
10,1,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
10,1,5,19-2012.00,Physicists
10,1,5,19-3051.00,Urban and Regional Planners
10,1,4,15-2011.00,Actuaries
10,1,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
10,1,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
10,1,4,11-9179.01,Fitness and Wellness Coordinators
10,1,4,19-1012.00,Food Scientists and Technologists
10,1,4,13-1131.00,Fundraisers
10,1,4,17-1012.00,Landscape Architects
10,1,4,13-1111.00,Management Analysts
10,1,4,13-1121.00,"Meeting, Convention, and Event Planners"
10,1,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
10,1,4,21-1015.00,Rehabilitation Counselors
10,1,4,11-3031.01,Treasurers and Controllers
10,1,4,11-9199.10,Wind Energy Development Managers
10,1,3,47-1011.03,Solar Energy Installation Managers
10,1,3,11-9179.02,Spa Managers
9,1,5,25-2059.01,Adapted Physical Education Specialists
9,1,5,11-1011.03,Chief Sustainability Officers
9,1,5,29-1213.00,Dermatologists
9,1,5,21-1022.00,Healthcare Social Workers
9,1,5,23-1011.00,Lawyers
9,1,5,29-1299.01,Naturopathic Physicians
9,1,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
9,1,4,11-2011.00,Advertising and Promotions Managers
9,1,4,27-1011.00,Art Directors
9,1,4,21-1094.00,Community Health Workers
9,1,4,11-9199.02,Compliance Managers
9,1,4,11-9021.00,Construction Managers
9,1,4,21-2021.00,"Directors, Religious Activities and Education"
9,1,4,11-1021.00,General and Operations Managers
9,1,4,15-1299.09,Information Technology Project Managers
9,1,4,17-2141.00,Mechanical Engineers
9,1,4,27-2012.00,Producers and Directors
9,1,4,11-3071.04,Supply Chain Managers
9,1,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
9,1,3,11-9199.09,Wind Energy Operations Managers
8,1,5,29-1141.02,Advanced Practice Psychiatric Nurses
8,1,5,11-9041.00,Architectural and Engineering Managers
8,1,5,19-1041.00,Epidemiologists
8,1,5,29-1215.00,Family Medicine Physicians
8,1,5,29-1216.00,General Internal Medicine Physicians
8,1,5,15-1211.01,Health Informatics Specialists
8,1,5,19-3032.00,Industrial-Organizational Psychologists
8,1,5,21-1014.00,Mental Health Counselors
8,1,5,11-9121.00,Natural Sciences Managers
8,1,5,29-1071.00,Physician Assistants
8,1,4,17-2031.00,Bioengineers and Biomedical Engineers
8,1,4,13-1199.04,Business Continuity Planners
8,1,4,21-1021.00,"Child, Family, and School Social Workers"
8,1,4,11-3021.00,Computer and Information Systems Managers
8,1,4,29-1141.03,Critical Care Nurses
8,1,4,29-1128.00,Exercise Physiologists
8,1,4,13-1075.00,Labor Relations Specialists
8,1,4,13-1081.00,Logisticians
8,1,4,11-9199.08,Loss Prevention Managers
8,1,4,17-2112.03,Manufacturing Engineers
8,1,4,11-9111.00,Medical and Health Services Managers
8,1,4,41-9031.00,Sales Engineers
8,1,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
8,1,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
8,1,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
7,1,5,29-1229.01,Allergists and Immunologists
7,1,5,11-1011.00,Chief Executives
7,1,5,29-1141.04,Clinical Nurse Specialists
7,1,5,29-1021.00,"Dentists, General"
7,1,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
7,1,5,29-1229.02,Hospitalists
7,1,5,21-1013.00,Marriage and Family Therapists
7,1,5,29-1217.00,Neurologists
7,1,5,29-1171.00,Nurse Practitioners
7,1,5,29-1241.00,"Ophthalmologists, Except Pediatric"
7,1,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
7,1,5,29-1229.05,Preventive Medicine Physicians
7,1,5,19-3034.00,School Psychologists
7,1,5,29-1127.00,Speech-Language Pathologists
7,1,5,29-1229.06,Sports Medicine Physicians
7,1,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
7,1,4,11-3051.00,Industrial Production Managers
7,1,4,11-9081.00,Lodging Managers
7,1,4,11-2021.00,Marketing Managers
7,1,4,11-3061.00,Purchasing Managers
7,1,4,11-3131.00,Training and Development Managers
7,1,3,11-3051.06,Hydroelectric Production Managers
7,1,2,33-1012.00,First-Line Supervisors of Police and Detectives
7,1,2,11-9071.00,Gambling Managers
7,1,5,21-2011.00,Clergy
7,1,5,19-3033.00,Clinical and Counseling Psychologists
7,1,5,29-1031.00,Dietitians and Nutritionists
7,1,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
7,1,5,11-9033.00,"Education Administrators, Postsecondary"
7,1,5,25-9021.00,Farm and Home Management Educators
7,1,5,21-1023.00,Mental Health and Substance Abuse Social Workers
7,1,5,29-1223.00,Psychiatrists
7,1,4,27-2022.00,Coaches and Scouts
7,1,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
7,1,4,11-9161.00,Emergency Management Directors
7,1,4,11-3031.00,Financial Managers
7,1,4,11-3121.00,Human Resources Managers
7,1,4,11-2022.00,Sales Managers
7,1,4,11-9151.00,Social and Community Service Managers
